policy,run_id,student_id,test_id,persona,total_marks,total_score,expected_marks,expected_score,negative_penalty_total,score_per_minute,marks_per_minute,total_time_sec,overtime_sec,overtime_violation,accuracy,n_questions,unique_topics,easy_count,medium_count,hard_count,negative_marking_enabled,negative_penalty_ratio
dkt_timebudget,1,136,s136_t17,Average Learner,48.0,35.0,51.38510032494863,39.23137540618579,13.0,0.9433485633378944,1.2937351725776836,2226.112469572723,0.0,0,0.5,30,21,13,16,1,True,0.25
gkt_timebudget,1,136,s136_t17,Average Learner,42.0,27.5,51.92568471034368,39.9071058879296,14.5,0.7412024426226312,1.1320182760054731,2226.112469572723,0.0,0,0.3666666666666666,30,21,13,16,1,True,0.25
bkt_timebudget,1,136,s136_t17,Average Learner,34.0,17.5,49.72091827394658,37.15114784243323,16.5,0.4716742816689471,0.9163957472425258,2226.112469572723,0.0,0,0.3666666666666666,30,21,13,16,1,True,0.25
mars_timebudget,1,136,s136_t4,Average Learner,120.0,107.0,122.56997715150854,110.21247143938564,13.0,1.8006911152730771,2.019466671334292,3565.2977601471634,0.0,0,0.74,50,18,19,30,1,True,0.25
dkt_timebudget,1,136,s136_t4,Average Learner,80.0,51.0,100.65076275208057,76.81345344010072,29.0,0.8645333669045538,1.3561307716149864,3539.4816639134183,0.0,0,0.44,50,20,16,29,5,True,0.25
gkt_timebudget,1,136,s136_t4,Average Learner,78.0,48.0,102.23693306782306,78.29616633477883,30.0,0.8088732384284008,1.3144190124461512,3560.5084495015467,0.0,0,0.44,50,20,15,30,5,True,0.25
bkt_timebudget,1,136,s136_t4,Average Learner,86.0,61.5,105.88173794547966,86.35217243184957,24.5,1.027270405542139,1.436508209375999,3592.043516577909,0.0,0,0.5,50,20,20,27,3,True,0.25
mars_timebudget,1,138,s138_t20,Average Learner,114.0,106.0,114.15478171948838,106.19347714936043,8.0,1.7952181078936906,1.930706266980007,3542.7450135639046,0.0,0,0.8367346938775511,49,20,26,22,1,True,0.25
dkt_timebudget,1,138,s138_t20,Average Learner,98.0,70.5,105.1838118897544,79.47976486219301,27.5,1.194534128587097,1.6604871574685884,3541.1294652613005,0.0,0,0.48,50,21,21,18,11,True,0.25
gkt_timebudget,1,138,s138_t20,Average Learner,120.0,98.0,108.55210302935706,83.69012878669633,22.0,1.6604871574685884,2.033249580573782,3541.1294652613005,0.0,0,0.58,50,21,21,18,11,True,0.25
bkt_timebudget,1,138,s138_t20,Average Learner,122.0,103.5,118.38742700090518,98.98428375113146,18.5,1.702648920748904,2.006987133636389,3647.258060263271,47.25806026327109,1,0.6938775510204082,49,20,19,22,8,True,0.25
mars_timebudget,1,153,s153_t2,Average Learner,84.0,75.5,81.47878458033833,72.34848072542286,8.5,1.6863678894623535,1.876223877017718,2686.246594415558,0.0,0,0.7777777777777778,36,23,14,22,0,True,0.25
dkt_timebudget,1,153,s153_t2,Average Learner,92.0,77.0,76.53476268264419,57.66845335330524,15.0,1.5341257619978836,1.8329814299195493,3011.4871377841923,0.0,0,0.65,40,23,14,22,4,True,0.25
gkt_timebudget,1,153,s153_t2,Average Learner,72.0,52.0,78.15760618659621,59.69700773324527,20.0,1.0360329821284409,1.4345072060239952,3011.4871377841923,0.0,0,0.45,40,23,14,22,4,True,0.25
bkt_timebudget,1,153,s153_t2,Average Learner,70.0,49.5,76.33296606432987,57.416207580412326,20.5,0.9862237041414968,1.3946597836344397,3011.4871377841923,0.0,0,0.525,40,23,14,22,4,True,0.25
mars_timebudget,1,153,s153_t8,Average Learner,138.0,130.5,128.22635542964449,118.2829442870556,7.5,2.1482058206706367,2.27166592530688,3644.9021432944414,44.90214329444234,1,0.8541666666666666,48,23,14,31,3,True,0.25
dkt_timebudget,1,153,s153_t8,Average Learner,110.0,90.5,95.85110172203608,72.8138771525451,19.5,1.4988723533229242,1.821833799619024,3622.723434695399,22.72343469539919,1,0.5625,48,24,11,31,6,True,0.25
gkt_timebudget,1,153,s153_t8,Average Learner,96.0,73.0,97.41348442009516,74.76685552511896,23.0,1.2090351579289884,1.5899640433038753,3622.7234346954,22.723434695399646,1,0.5,48,24,11,31,6,True,0.25
bkt_timebudget,1,153,s153_t8,Average Learner,96.0,75.0,94.67849833065569,73.34812291331951,21.0,1.2362420443413211,1.582389816756891,3640.063869852957,40.063869852956486,1,0.5,48,24,15,28,5,True,0.25
mars_timebudget,1,158,s158_t10,Average Learner,100.0,95.0,85.58517450736994,76.98146813421239,5.0,2.053066068858261,2.161122177745538,2776.335397316196,0.0,0,0.8611111111111112,36,18,14,20,2,True,0.25
